Unit 1 1-2,unit-1-1-2
Hello,здравей
i`m,аз съм
from,от
How do you do,Приятно ми е да се запознаем
you,ти,вие
My name is,Името ми е
my,мой,мое,моя,мои
name,име,наименование
You`re,ти си,вие сте
German,германец ,немски,немски език
are you,нали
that,това,ето
That`s right,Точно така
in,в
Saxony,Саксония
Cambridge,Кеймбридж
yes,да
we`re,ние сме
It`s nice to meet you,Приятно ми е
It`s,той е,тя е,то е,
nice,мил,приятен,хубав
meet,запознавам се
How are you,Как сте
how,как
"Fine, thanks","Добре, благодаря"
fine,страхотно,великолепно,хубаво,добре
Thanks,Благодаря
Thank you,Благодаря ти
Not too bad,бивам,горе-долу добре
not,не
bed,лош
Goodbye,Довиждане,дочуване
Bye,Чао
bye now,Чао
Cheerio,Чао
Good morning,Добро утро
afternoon,следобед
evening,вечер
